[2026-05-28 09:09:58.861] [INIT].... → Crawl4AI 0.8.6 
[2026-05-28 09:10:01.015] [FETCH]... ↓ https://wallstreetcn.com/articles/3773196                                                            | ✓ | ⏱: 2.11s 
[2026-06-01 11:43:58.694] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773517                                                            | ✓ | ⏱: 0.01s 
[2026-06-01 11:43:58.695] [COMPLETE] ● https://wallstreetcn.com/articles/3773517                                                            | ✓ | ⏱: 2.38s 
[2026-06-01 11:44:00.139] [FETCH]... ↓ https://wallstreetcn.com/articles/3773517                                                            | ✓ | ⏱: 1.43s 
[2026-06-01 11:44:00.152] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773517                                                            | ✓ | ⏱: 0.01s 
[2026-06-01 11:44:00.164] [COMPLETE] ● https://wallstreetcn.com/articles/3773517                                                            | ✓ | ⏱: 1.46s 
[2026-06-01 11:44:00.772] [FETCH]... ↓ https://wallstreetcn.com/articles/3773422                                                            | ✓ | ⏱: 1.98s 
[2026-06-01 11:44:00.779] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773422                                                            | ✓ | ⏱: 0.01s 
[2026-06-01 11:44:00.780] [COMPLETE] ● https://wallstreetcn.com/articles/3773422                                                            | ✓ | ⏱: 1.98s 
[2026-06-01 11:44:02.222] [FETCH]... ↓ https://wallstreetcn.com/articles/3773422                                                            | ✓ | ⏱: 1.43s 
[2026-06-01 11:44:02.234] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773422                                                            | ✓ | ⏱: 0.01s 
[2026-06-01 11:44:02.241] [COMPLETE] ● https://wallstreetcn.com/articles/3773422                                                            | ✓ | ⏱: 1.45s 
[2026-06-01 11:44:03.693] [FETCH]... ↓ https://wallstreetcn.com/articles/3773483                                                            | ✓ | ⏱: 1.91s 
[2026-06-01 11:44:03.700] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773483                                                            | ✓ | ⏱: 0.00s 
[2026-06-01 11:44:03.702] [COMPLETE] ● https://wallstreetcn.com/articles/3773483                                                            | ✓ | ⏱: 1.92s 
[2026-06-01 11:44:05.153] [FETCH]... ↓ https://wallstreetcn.com/articles/3773483                                                            | ✓ | ⏱: 1.44s 
[2026-06-01 11:44:05.165] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773483                                                            | ✓ | ⏱: 0.01s 
[2026-06-01 11:44:05.172] [COMPLETE] ● https://wallstreetcn.com/articles/3773483                                                            | ✓ | ⏱: 1.46s 
[2026-06-01 11:44:07.240] [FETCH]... ↓ https://wallstreetcn.com/articles/3773523                                                            | ✓ | ⏱: 3.22s 
[2026-06-01 11:44:07.251] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773523                                                            | ✓ | ⏱: 0.01s 
[2026-06-01 11:44:07.254] [COMPLETE] ● https://wallstreetcn.com/articles/3773523                                                            | ✓ | ⏱: 3.24s 
[2026-06-01 11:44:08.216] [FETCH]... ↓ https://wallstreetcn.com/articles/3773483                                                            | ✓ | ⏱: 1.52s 
[2026-06-01 11:44:08.224] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773483                                                            | ✓ | ⏱: 0.01s 
[2026-06-01 11:44:08.226] [COMPLETE] ● https://wallstreetcn.com/articles/3773483                                                            | ✓ | ⏱: 1.53s 
[2026-06-01 11:44:08.721] [FETCH]... ↓ https://wallstreetcn.com/articles/3773523                                                            | ✓ | ⏱: 1.45s 
[2026-06-01 11:44:08.737] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773523                                                            | ✓ | ⏱: 0.01s 
[2026-06-01 11:44:08.749] [COMPLETE] ● https://wallstreetcn.com/articles/3773523                                                            | ✓ | ⏱: 1.48s 
[2026-06-01 11:44:10.092] [FETCH]... ↓ https://wallstreetcn.com/articles/3773483                                                            | ✓ | ⏱: 1.85s 
[2026-06-01 11:44:10.109] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773483                                                            | ✓ | ⏱: 0.01s 
[2026-06-01 11:44:10.116] [COMPLETE] ● https://wallstreetcn.com/articles/3773483                                                            | ✓ | ⏱: 1.88s 
[2026-06-01 11:44:11.693] [FETCH]... ↓ https://wallstreetcn.com/articles/3773523                                                            | ✓ | ⏱: 1.42s 
[2026-06-01 11:44:11.700] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773523                                                            | ✓ | ⏱: 0.00s 
[2026-06-01 11:44:11.702] [COMPLETE] ● https://wallstreetcn.com/articles/3773523                                                            | ✓ | ⏱: 1.43s 
[2026-06-01 11:44:13.185] [FETCH]... ↓ https://wallstreetcn.com/articles/3773523                                                            | ✓ | ⏱: 1.47s 
[2026-06-01 11:44:13.201] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773523                                                            | ✓ | ⏱: 0.01s 
[2026-06-01 11:44:13.208] [COMPLETE] ● https://wallstreetcn.com/articles/3773523                                                            | ✓ | ⏱: 1.50s 
[2026-06-01 11:44:15.072] [FETCH]... ↓ https://wallstreetcn.com/articles/3773483                                                            | ✓ | ⏱: 1.94s 
[2026-06-01 11:44:15.078] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773483                                                            | ✓ | ⏱: 0.00s 
[2026-06-01 11:44:15.080] [COMPLETE] ● https://wallstreetcn.com/articles/3773483                                                            | ✓ | ⏱: 1.94s 
[2026-06-01 11:44:16.552] [FETCH]... ↓ https://wallstreetcn.com/articles/3773483                                                            | ✓ | ⏱: 1.46s 
[2026-06-01 11:44:16.566] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773483                                                            | ✓ | ⏱: 0.01s 
[2026-06-01 11:44:16.574] [COMPLETE] ● https://wallstreetcn.com/articles/3773483                                                            | ✓ | ⏱: 1.48s 
[2026-06-01 11:44:18.309] [FETCH]... ↓ https://wallstreetcn.com/articles/3773523                                                            | ✓ | ⏱: 2.08s 
[2026-06-01 11:44:18.318] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773523                                                            | ✓ | ⏱: 0.01s 
[2026-06-01 11:44:18.320] [COMPLETE] ● https://wallstreetcn.com/articles/3773523                                                            | ✓ | ⏱: 2.10s 
[2026-06-01 11:44:19.795] [FETCH]... ↓ https://wallstreetcn.com/articles/3773523                                                            | ✓ | ⏱: 1.46s 
[2026-06-01 11:44:19.809] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773523                                                            | ✓ | ⏱: 0.01s 
[2026-06-01 11:44:19.817] [COMPLETE] ● https://wallstreetcn.com/articles/3773523                                                            | ✓ | ⏱: 1.48s 
[2026-06-01 11:44:20.115] [FETCH]... ↓ https://wallstreetcn.com/articles/3773520                                                            | ✓ | ⏱: 2.01s 
[2026-06-01 11:44:20.122] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773520                                                            | ✓ | ⏱: 0.01s 
[2026-06-01 11:44:20.124] [COMPLETE] ● https://wallstreetcn.com/articles/3773520                                                            | ✓ | ⏱: 2.02s 
[2026-06-01 11:44:22.010] [FETCH]... ↓ https://wallstreetcn.com/articles/3773520                                                            | ✓ | ⏱: 1.88s 
[2026-06-01 11:44:22.029] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773520                                                            | ✓ | ⏱: 0.01s 
[2026-06-01 11:44:22.039] [COMPLETE] ● https://wallstreetcn.com/articles/3773520                                                            | ✓ | ⏱: 1.90s 
[2026-06-01 11:44:23.398] [FETCH]... ↓ https://wallstreetcn.com/articles/3773516                                                            | ✓ | ⏱: 2.49s 
[2026-06-01 11:44:23.409] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773516                                                            | ✓ | ⏱: 0.01s 
[2026-06-01 11:44:23.413] [COMPLETE] ● https://wallstreetcn.com/articles/3773516                                                            | ✓ | ⏱: 2.51s 
[2026-06-01 11:44:24.883] [FETCH]... ↓ https://wallstreetcn.com/articles/3773516                                                            | ✓ | ⏱: 1.45s 
[2026-06-01 11:44:24.898] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773516                                                            | ✓ | ⏱: 0.01s 
[2026-06-01 11:44:24.908] [COMPLETE] ● https://wallstreetcn.com/articles/3773516                                                            | ✓ | ⏱: 1.48s 
[2026-06-01 11:44:25.742] [FETCH]... ↓ https://wallstreetcn.com/articles/3773520                                                            | ✓ | ⏱: 1.46s 
[2026-06-01 11:44:25.750] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773520                                                            | ✓ | ⏱: 0.01s 
[2026-06-01 11:44:25.753] [COMPLETE] ● https://wallstreetcn.com/articles/3773520                                                            | ✓ | ⏱: 1.47s 
[2026-06-01 11:44:27.223] [FETCH]... ↓ https://wallstreetcn.com/articles/3773520                                                            | ✓ | ⏱: 1.46s 
[2026-06-01 11:44:27.236] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773520                                                            | ✓ | ⏱: 0.01s 
[2026-06-01 11:44:27.242] [COMPLETE] ● https://wallstreetcn.com/articles/3773520                                                            | ✓ | ⏱: 1.48s 
[2026-06-01 11:44:28.727] [FETCH]... ↓ https://wallstreetcn.com/articles/3773516                                                            | ✓ | ⏱: 1.91s 
[2026-06-01 11:44:28.735] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773516                                                            | ✓ | ⏱: 0.01s 
[2026-06-01 11:44:28.737] [COMPLETE] ● https://wallstreetcn.com/articles/3773516                                                            | ✓ | ⏱: 1.92s 
[2026-06-01 11:44:30.211] [FETCH]... ↓ https://wallstreetcn.com/articles/3773516                                                            | ✓ | ⏱: 1.46s 
[2026-06-01 11:44:30.229] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773516                                                            | ✓ | ⏱: 0.01s 
[2026-06-01 11:44:30.243] [COMPLETE] ● https://wallstreetcn.com/articles/3773516                                                            | ✓ | ⏱: 1.49s 
[2026-06-01 11:44:33.519] [FETCH]... ↓ https://wallstreetcn.com/articles/3773520                                                            | ✓ | ⏱: 3.26s 
[2026-06-01 11:44:33.527] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773520                                                            | ✓ | ⏱: 0.01s 
[2026-06-01 11:44:33.529] [COMPLETE] ● https://wallstreetcn.com/articles/3773520                                                            | ✓ | ⏱: 3.27s 
[2026-06-01 11:44:35.159] [FETCH]... ↓ https://wallstreetcn.com/articles/3773520                                                            | ✓ | ⏱: 1.62s 
[2026-06-01 11:44:35.174] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773520                                                            | ✓ | ⏱: 0.01s 
[2026-06-01 11:44:35.181] [COMPLETE] ● https://wallstreetcn.com/articles/3773520                                                            | ✓ | ⏱: 1.64s 
[2026-06-01 11:44:35.271] [FETCH]... ↓ https://wallstreetcn.com/articles/3773516                                                            | ✓ | ⏱: 2.01s 
[2026-06-01 11:44:35.277] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773516                                                            | ✓ | ⏱: 0.00s 
[2026-06-01 11:44:35.279] [COMPLETE] ● https://wallstreetcn.com/articles/3773516                                                            | ✓ | ⏱: 2.01s 
[2026-06-01 11:44:36.797] [FETCH]... ↓ https://wallstreetcn.com/articles/3773516                                                            | ✓ | ⏱: 1.51s 
[2026-06-01 11:44:36.813] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773516                                                            | ✓ | ⏱: 0.01s 
[2026-06-01 11:44:36.821] [COMPLETE] ● https://wallstreetcn.com/articles/3773516                                                            | ✓ | ⏱: 1.53s 
[2026-06-01 11:44:38.715] [FETCH]... ↓ https://wallstreetcn.com/articles/3773524                                                            | ✓ | ⏱: 1.99s 
[2026-06-01 11:44:38.726] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773524                                                            | ✓ | ⏱: 0.01s 
[2026-06-01 11:44:38.729] [COMPLETE] ● https://wallstreetcn.com/articles/3773524                                                            | ✓ | ⏱: 2.00s 
[2026-06-01 11:44:40.342] [FETCH]... ↓ https://wallstreetcn.com/articles/3773524                                                            | ✓ | ⏱: 1.60s 
[2026-06-01 11:44:40.356] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773524                                                            | ✓ | ⏱: 0.01s 
[2026-06-01 11:44:40.363] [COMPLETE] ● https://wallstreetcn.com/articles/3773524                                                            | ✓ | ⏱: 1.62s 
[2026-06-01 11:44:42.295] [FETCH]... ↓ https://wallstreetcn.com/articles/3773518                                                            | ✓ | ⏱: 2.98s 
[2026-06-01 11:44:42.302] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773518                                                            | ✓ | ⏱: 0.01s 
[2026-06-01 11:44:42.305] [COMPLETE] ● https://wallstreetcn.com/articles/3773518                                                            | ✓ | ⏱: 2.99s 
[2026-06-01 11:44:43.420] [FETCH]... ↓ https://wallstreetcn.com/articles/3773524                                                            | ✓ | ⏱: 1.54s 
[2026-06-01 11:44:43.427] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773524                                                            | ✓ | ⏱: 0.00s 
[2026-06-01 11:44:43.428] [COMPLETE] ● https://wallstreetcn.com/articles/3773524                                                            | ✓ | ⏱: 1.55s 
[2026-06-01 11:44:43.790] [FETCH]... ↓ https://wallstreetcn.com/articles/3773518                                                            | ✓ | ⏱: 1.47s 
[2026-06-01 11:44:43.803] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773518                                                            | ✓ | ⏱: 0.01s 
[2026-06-01 11:44:43.812] [COMPLETE] ● https://wallstreetcn.com/articles/3773518                                                            | ✓ | ⏱: 1.49s 
[2026-06-01 11:44:44.959] [FETCH]... ↓ https://wallstreetcn.com/articles/3773524                                                            | ✓ | ⏱: 1.52s 
[2026-06-01 11:44:44.972] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773524                                                            | ✓ | ⏱: 0.01s 
[2026-06-01 11:44:44.980] [COMPLETE] ● https://wallstreetcn.com/articles/3773524                                                            | ✓ | ⏱: 1.54s 
[2026-06-01 11:44:46.853] [FETCH]... ↓ https://wallstreetcn.com/articles/3773518                                                            | ✓ | ⏱: 1.51s 
[2026-06-01 11:44:46.864] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773518                                                            | ✓ | ⏱: 0.01s 
[2026-06-01 11:44:46.867] [COMPLETE] ● https://wallstreetcn.com/articles/3773518                                                            | ✓ | ⏱: 1.53s 
[2026-06-01 11:44:48.360] [FETCH]... ↓ https://wallstreetcn.com/articles/3773518                                                            | ✓ | ⏱: 1.48s 
[2026-06-01 11:44:48.376] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773518                                                            | ✓ | ⏱: 0.01s 
[2026-06-01 11:44:48.384] [COMPLETE] ● https://wallstreetcn.com/articles/3773518                                                            | ✓ | ⏱: 1.50s 
[2026-06-01 11:44:50.402] [FETCH]... ↓ https://wallstreetcn.com/articles/3773524                                                            | ✓ | ⏱: 1.93s 
[2026-06-01 11:44:50.409] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773524                                                            | ✓ | ⏱: 0.00s 
[2026-06-01 11:44:50.410] [COMPLETE] ● https://wallstreetcn.com/articles/3773524                                                            | ✓ | ⏱: 1.94s 
[2026-06-01 11:44:51.921] [FETCH]... ↓ https://wallstreetcn.com/articles/3773524                                                            | ✓ | ⏱: 1.50s 
[2026-06-01 11:44:51.937] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773524                                                            | ✓ | ⏱: 0.01s 
[2026-06-01 11:44:51.947] [COMPLETE] ● https://wallstreetcn.com/articles/3773524                                                            | ✓ | ⏱: 1.53s 
[2026-06-01 11:44:53.366] [FETCH]... ↓ https://wallstreetcn.com/articles/3773518                                                            | ✓ | ⏱: 1.96s 
[2026-06-01 11:44:53.375] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773518                                                            | ✓ | ⏱: 0.01s 
[2026-06-01 11:44:53.377] [COMPLETE] ● https://wallstreetcn.com/articles/3773518                                                            | ✓ | ⏱: 1.98s 
[2026-06-01 11:44:54.980] [FETCH]... ↓ https://wallstreetcn.com/articles/3773518                                                            | ✓ | ⏱: 1.59s 
[2026-06-01 11:44:55.005] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773518                                                            | ✓ | ⏱: 0.02s 
[2026-06-01 11:44:55.017] [COMPLETE] ● https://wallstreetcn.com/articles/3773518                                                            | ✓ | ⏱: 1.62s 
[2026-06-01 11:44:56.771] [FETCH]... ↓ https://wallstreetcn.com/articles/3773529                                                            | ✓ | ⏱: 3.44s 
[2026-06-01 11:44:56.778] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773529                                                            | ✓ | ⏱: 0.00s 
[2026-06-01 11:44:56.780] [COMPLETE] ● https://wallstreetcn.com/articles/3773529                                                            | ✓ | ⏱: 3.45s 
[2026-06-01 11:44:58.293] [FETCH]... ↓ https://wallstreetcn.com/articles/3773529                                                            | ✓ | ⏱: 1.50s 
[2026-06-01 11:44:58.307] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773529                                                            | ✓ | ⏱: 0.01s 
[2026-06-01 11:44:58.315] [COMPLETE] ● https://wallstreetcn.com/articles/3773529                                                            | ✓ | ⏱: 1.52s 
[2026-06-01 11:44:58.617] [FETCH]... ↓ https://wallstreetcn.com/articles/3773530                                                            | ✓ | ⏱: 2.06s 
[2026-06-01 11:44:58.622] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773530                                                            | ✓ | ⏱: 0.00s 
[2026-06-01 11:44:58.625] [COMPLETE] ● https://wallstreetcn.com/articles/3773530                                                            | ✓ | ⏱: 2.07s 
[2026-06-01 11:45:00.221] [FETCH]... ↓ https://wallstreetcn.com/articles/3773530                                                            | ✓ | ⏱: 1.59s 
[2026-06-01 11:45:00.236] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773530                                                            | ✓ | ⏱: 0.01s 
[2026-06-01 11:45:00.244] [COMPLETE] ● https://wallstreetcn.com/articles/3773530                                                            | ✓ | ⏱: 1.61s 
[2026-06-01 11:45:01.349] [FETCH]... ↓ https://wallstreetcn.com/articles/3773529                                                            | ✓ | ⏱: 1.51s 
[2026-06-01 11:45:01.355] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773529                                                            | ✓ | ⏱: 0.00s 
[2026-06-01 11:45:01.357] [COMPLETE] ● https://wallstreetcn.com/articles/3773529                                                            | ✓ | ⏱: 1.52s 
[2026-06-01 11:45:03.627] [FETCH]... ↓ https://wallstreetcn.com/articles/3773529                                                            | ✓ | ⏱: 2.26s 
[2026-06-01 11:45:03.640] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773529                                                            | ✓ | ⏱: 0.01s 
[2026-06-01 11:45:03.648] [COMPLETE] ● https://wallstreetcn.com/articles/3773529                                                            | ✓ | ⏱: 2.28s 
[2026-06-01 11:45:03.669] [FETCH]... ↓ https://wallstreetcn.com/articles/3773530                                                            | ✓ | ⏱: 1.48s 
[2026-06-01 11:45:03.675] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773530                                                            | ✓ | ⏱: 0.00s 
[2026-06-01 11:45:03.678] [COMPLETE] ● https://wallstreetcn.com/articles/3773530                                                            | ✓ | ⏱: 1.49s 
[2026-06-01 11:45:06.078] [FETCH]... ↓ https://wallstreetcn.com/articles/3773530                                                            | ✓ | ⏱: 2.39s 
[2026-06-01 11:45:06.099] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773530                                                            | ✓ | ⏱: 0.02s 
[2026-06-01 11:45:06.106] [COMPLETE] ● https://wallstreetcn.com/articles/3773530                                                            | ✓ | ⏱: 2.42s 
[2026-06-01 11:45:09.805] [FETCH]... ↓ https://wallstreetcn.com/articles/3773529                                                            | ✓ | ⏱: 3.15s 
[2026-06-01 11:45:09.816] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773529                                                            | ✓ | ⏱: 0.01s 
[2026-06-01 11:45:09.820] [COMPLETE] ● https://wallstreetcn.com/articles/3773529                                                            | ✓ | ⏱: 3.17s 
[2026-06-01 11:45:11.740] [FETCH]... ↓ https://wallstreetcn.com/articles/3773529                                                            | ✓ | ⏱: 1.91s 
[2026-06-01 11:45:11.767] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773529                                                            | ✓ | ⏱: 0.03s 
[2026-06-01 11:45:11.776] [COMPLETE] ● https://wallstreetcn.com/articles/3773529                                                            | ✓ | ⏱: 1.94s 
[2026-06-01 11:45:14.356] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33276669                                                  | ✓ | ⏱: 2.56s 
[2026-06-01 11:45:14.362] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33276669                                                  | ✓ | ⏱: 0.00s 
[2026-06-01 11:45:14.364] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33276669                                                  | ✓ | ⏱: 2.57s 
[2026-06-01 11:45:15.097] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33275645                                                  | ✓ | ⏱: 8.97s 
[2026-06-01 11:45:15.101] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33275645                                                  | ✓ | ⏱: 0.00s 
[2026-06-01 11:45:15.104] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33275645                                                  | ✓ | ⏱: 8.98s 
[2026-06-01 11:45:17.132] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33276669                                                  | ✓ | ⏱: 2.76s 
[2026-06-01 11:45:17.183] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33276669                                                  | ✓ | ⏱: 0.05s 
[2026-06-01 11:45:17.192] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33276669                                                  | ✓ | ⏱: 2.82s 
[2026-06-01 11:45:17.818] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33275645                                                  | ✓ | ⏱: 2.70s 
[2026-06-01 11:45:17.863] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33275645                                                  | ✓ | ⏱: 0.04s 
[2026-06-01 11:45:17.874] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33275645                                                  | ✓ | ⏱: 2.76s 
[2026-06-01 11:45:19.671] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33275459                                                  | ✓ | ⏱: 2.46s 
[2026-06-01 11:45:19.677] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33275459                                                  | ✓ | ⏱: 0.00s 
[2026-06-01 11:45:19.681] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33275459                                                  | ✓ | ⏱: 2.47s 
[2026-06-01 11:45:22.855] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33278860                                                  | ✓ | ⏱: 3.78s 
[2026-06-01 11:45:22.860] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33278860                                                  | ✓ | ⏱: 0.00s 
[2026-06-01 11:45:22.862] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33278860                                                  | ✓ | ⏱: 3.78s 
[2026-06-01 11:45:23.293] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33275459                                                  | ✓ | ⏱: 3.60s 
[2026-06-01 11:45:23.343] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33275459                                                  | ✓ | ⏱: 0.05s 
[2026-06-01 11:45:23.355] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33275459                                                  | ✓ | ⏱: 3.66s 
[2026-06-01 11:45:25.250] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33278860                                                  | ✓ | ⏱: 2.38s 
[2026-06-01 11:45:25.300] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33278860                                                  | ✓ | ⏱: 0.05s 
[2026-06-01 11:45:25.310] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33278860                                                  | ✓ | ⏱: 2.44s 
[2026-06-01 11:45:25.808] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33275467                                                  | ✓ | ⏱: 2.42s 
[2026-06-01 11:45:25.813] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33275467                                                  | ✓ | ⏱: 0.00s 
[2026-06-01 11:45:25.815] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33275467                                                  | ✓ | ⏱: 2.43s 
[2026-06-01 11:45:28.155] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33275467                                                  | ✓ | ⏱: 2.33s 
[2026-06-01 11:45:28.213] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33275467                                                  | ✓ | ⏱: 0.06s 
[2026-06-01 11:45:28.223] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33275467                                                  | ✓ | ⏱: 2.40s 
[2026-06-01 11:45:28.794] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33277427                                                  | ✓ | ⏱: 1.99s 
[2026-06-01 11:45:28.803] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33277427                                                  | ✓ | ⏱: 0.01s 
[2026-06-01 11:45:28.805] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33277427                                                  | ✓ | ⏱: 2.00s 
[2026-06-01 11:45:30.993] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33277427                                                  | ✓ | ⏱: 2.18s 
[2026-06-01 11:45:31.024] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33277427                                                  | ✓ | ⏱: 0.03s 
[2026-06-01 11:45:31.032] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33277427                                                  | ✓ | ⏱: 2.21s 
[2026-06-01 11:45:31.665] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33276088                                                  | ✓ | ⏱: 2.29s 
[2026-06-01 11:45:31.671] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33276088                                                  | ✓ | ⏱: 0.00s 
[2026-06-01 11:45:31.674] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33276088                                                  | ✓ | ⏱: 2.29s 
[2026-06-01 11:45:33.476] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33276489                                                  | ✓ | ⏱: 2.17s 
[2026-06-01 11:45:33.481] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33276489                                                  | ✓ | ⏱: 0.00s 
[2026-06-01 11:45:33.483] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33276489                                                  | ✓ | ⏱: 2.18s 
[2026-06-01 11:45:33.723] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33276088                                                  | ✓ | ⏱: 2.04s 
[2026-06-01 11:45:33.779] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33276088                                                  | ✓ | ⏱: 0.05s 
[2026-06-01 11:45:33.787] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33276088                                                  | ✓ | ⏱: 2.10s 
[2026-06-01 11:45:35.627] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33276489                                                  | ✓ | ⏱: 2.13s 
[2026-06-01 11:45:35.679] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33276489                                                  | ✓ | ⏱: 0.05s 
[2026-06-01 11:45:35.689] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33276489                                                  | ✓ | ⏱: 2.19s 
[2026-06-01 11:45:36.159] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33278249                                                  | ✓ | ⏱: 2.35s 
[2026-06-01 11:45:36.164] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33278249                                                  | ✓ | ⏱: 0.00s 
[2026-06-01 11:45:36.166] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33278249                                                  | ✓ | ⏱: 2.36s 
[2026-06-01 11:45:38.928] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33276405                                                  | ✓ | ⏱: 3.14s 
